iso_code,location,total_tests_per_thousand,Z-score （HD),Log-tests, health expenditure per capita,total_tests_per_thousand,Log Health expen,Log-tests
AGO,Angola,,-0.679091762,,71.32600403,,1.853247894,
ATG,Antigua and Barbuda,,-0.679091762,,760.2649536,,2.880964971,
MAC,Macao,,-0.679091762,,,,,
AZE,Azerbaijan,,-0.679091762,,193.1088409,,2.285802157,
BDI,Burundi,,-0.679091762,,20.56754112,,1.313182374,
BEN,Benin,,-0.679091762,,29.12529182,,1.464270285,
BFA,Burkina Faso,,-0.679091762,,42.3445282,,1.626797298,
BHS,Bahamas,,-0.679091762,,2004.616333,,3.302031265,
BLZ,Belize,,-0.679091762,,293.4125977,,2.467478756,
BRB,Barbados,,-0.679091762,,1143.322021,,3.058168569,
BRN,Brunei,,-0.679091762,,671.5626831,,,
CAF,Central African Republic,,-0.679091762,,37.19958115,,1.57053805,
CHN,China,,-0.679091762,,535.1333618,,2.728462027,
CMR,Cameroon,,-0.679091762,,53.99584961,,1.732360379,
COD,Democratic Republic of Congo,,-0.679091762,,20.57073212,,1.313249749,
COG,Congo,,-0.679091762,,48.55877304,,1.686267705,
MNP,Northern Mariana Islands,783.028,0.049831116,2.893777292,,783.028,,2.893777292
COM,Comoros,,-0.679091762,,72.32379913,,1.859281231,
CPV,Cape Verde,,-0.679091762,,177.8902741,,2.250152204,
MSR,Montserrat,,-0.679091762,,,,,
DEU,Germany,,-0.679091762,,5440.251465,,3.735618975,
DJI,Djibouti,,-0.679091762,,61.80943298,,1.79105476,
DMA,Dominica,,-0.679091762,,440.1698608,,2.643620302,
DOM,Dominican Republic,,-0.679091762,,491.0593567,,2.691133991,
NCL,New Caledonia,,-0.679091762,,,,,
DZA,Algeria,,-0.679091762,,248.2058716,,2.394812051,
EGY,Egypt,,-0.679091762,,149.8403168,,2.175628682,
ERI,Eritrea,,-0.679091762,,25.2679348,,1.402569748,
FSM,Micronesia (country),,-0.679091762,,415.1982727,,,
GAB,Gabon,,-0.679091762,,215.0191498,,2.33247714,
GHA,Ghana,,-0.679091762,,75.28166199,,1.876689198,
GIN,Guinea,,-0.679091762,,43.03782272,,1.633850292,
GMB,Gambia,,-0.679091762,,29.72580338,,1.473133601,
GNB,Guinea-Bissau,,-0.679091762,,62.57557678,,1.796404861,
GNQ,Equatorial Guinea,,-0.679091762,,254.891098,,2.406354668,
GRD,Grenada,,-0.679091762,,534.2744141,,2.727764377,
GUY,Guyana,,-0.679091762,,325.8851624,,2.513064587,
HND,Honduras,,-0.679091762,,187.5543366,,2.27312711,
HTI,Haiti,,-0.679091762,,56.99440002,,1.755832186,
IRN,Iran,,-0.679091762,,470.4346008,,2.672499257,
PRI,Puerto Rico,220.271,-0.474040894,2.342957323,,220.271,,2.342957323
PRK,North Korea,,-0.679091762,,,,,
KEN,Kenya,,-0.679091762,,83.41162872,,1.921226601,
KGZ,Kyrgyzstan,,-0.679091762,,62.14477539,,1.793404623,
PSE,Palestine,,-0.679091762,,,,,
PYF,French Polynesia,,-0.679091762,,,,,
KHM,Cambodia,,-0.679091762,,113.3104401,,2.054269926,
KNA,Saint Kitts and Nevis,,-0.679091762,,1087.801025,,3.036549464,
LAO,Laos,,-0.679091762,,68.22131348,,1.833920077,
LBN,Lebanon,,-0.679091762,,663.0510864,,2.821546991,
LBR,Liberia,,-0.679091762,,52.56287003,,1.72067907,
LCA,Saint Lucia,,-0.679091762,,502.1817017,,2.700860884,
LSO,Lesotho,,-0.679091762,,124.193634,,2.094099335,
MCO,Monaco,,-0.679091762,,2905.84375,,,
SHN,Saint Helena,,-0.679091762,,,,,
MDA,Moldova,,-0.679091762,,284.3071289,,2.45378775,
MHL,Marshall Islands,,-0.679091762,,664.3184815,,2.822376335,
MLI,Mali,,-0.679091762,,34.28177643,,1.535063318,
MMR,Myanmar,,-0.679091762,,60.01587296,,1.778266128,
SOM,Somalia,,-0.679091762,,,,,
SPM,Saint Pierre and Miquelon,,-0.679091762,,,,,
MNE,Montenegro,,-0.679091762,,735.1588745,,2.866381204,
MRT,Mauritania,,-0.679091762,,57.88484573,,1.76256488,
MUS,Mauritius,,-0.679091762,,685.9456177,,2.836289686,
MWI,Malawi,,-0.679091762,,30.40028763,,1.482877693,
NER,Niger,,-0.679091762,,31.39763641,,1.496896956,
NIC,Nicaragua,,-0.679091762,,160.7587891,,2.206174726,
NRU,Nauru,,-0.679091762,,1049.447021,,3.020960519,
OMN,Oman,,-0.679091762,,624.7444458,,2.795702404,
PNG,Papua New Guinea,,-0.679091762,,65.08071899,,1.813452342,
SYR,Syria,,-0.679091762,,,,,
TCA,Turks and Caicos Islands,,-0.679091762,,,,,
POL,Poland,,-0.679091762,,1014.038208,,3.006054319,
ROU,Romania,,-0.679091762,,738.5581665,,2.868384705,
RWA,Rwanda,,-0.679091762,,51.39912415,,1.710955719,
SDN,Sudan,,-0.679091762,,46.92884064,,1.671439825,
SGP,Singapore,,-0.679091762,,2632.713867,,3.420403661,
SLB,Solomon Islands,,-0.679091762,,111.9044876,,2.048847503,
SLE,Sierra Leone,,-0.679091762,,46.15795517,,1.664246561,
SMR,San Marino,,-0.679091762,,3050.918213,,,
STP,Sao Tome and Principe,,-0.679091762,,108.4464035,,2.035215154,
TWN,Taiwan,8.366,-0.67130383,0.92251786,,8.366,,0.92251786
SUR,Suriname,,-0.679091762,,619.2471314,,2.791864003,
SWZ,Eswatini,,-0.679091762,,264.0551453,,2.421694634,
SYC,Seychelles,,-0.679091762,,839.7733154,,2.92416207,
TCD,Chad,,-0.679091762,,29.85083008,,1.474956412,
TJK,Tajikistan,,-0.679091762,,61.87225342,,1.791495934,
TKM,Turkmenistan,,-0.679091762,,500.0064392,,2.698975597,
VAT,Vatican,,-0.679091762,,,,,
TLS,Timor,,-0.679091762,,92.67004395,,1.966939369,
TZA,Tanzania,,-0.679091762,,40.34330368,,1.605771459,
VGB,British Virgin Islands,,-0.679091762,,,,,
VIR,United States Virgin Islands,604.66,-0.116212136,2.78151124,,604.66,,2.78151124
UZB,Uzbekistan,,-0.679091762,,98.57316589,,1.993758705,
VCT,Saint Vincent and the Grenadines,,-0.679091762,,354.8086548,,2.549994205,
WLF,Wallis and Futuna,,-0.679091762,,,,,
VEN,Venezuela,,-0.679091762,,338.8253784,,2.529975932,
YEM,Yemen,,-0.679091762,,,,,
VNM,Vietnam,,-0.679091762,,180.7181854,,2.257001857,
VUT,Vanuatu,,-0.679091762,,104.2496109,,,
WSM,Samoa,,-0.679091762,,271.9157715,,2.434434398,
